# t theta1 omega1 theta2 omega2 KE1 PE1 KE2 PE2 E_Total
0.00000000 0.20000000 0.00000000 -0.15000000 0.00000000 0.00000000 0.19554687 0.00000000 0.11015573 0.79570260
0.01000000 0.19985357 -0.02928158 -0.14997569 0.00486228 0.00042871 0.19526159 0.00001182 0.11012010 0.79534428
0.02000000 0.19941453 -0.05851591 -0.14990271 0.00973895 0.00171206 0.19440746 0.00004742 0.11001314 0.79427020
0.03000000 0.19868357 -0.08765584 -0.14978082 0.01464431 0.00384177 0.19298955 0.00010723 0.10983464 0.79248291
0.04000000 0.19766188 -0.11665446 -0.14960968 0.01959247 0.00680413 0.19101629 0.00019193 0.10958426 0.78998675
0.05000000 0.19635111 -0.14546521 -0.14938878 0.02459731 0.01058006 0.18849939 0.00030251 0.10926150 0.78678775
0.06000000 0.19475336 -0.17404197 -0.14911750 0.02967232 0.01514530 0.18545382 0.00044022 0.10886576 0.78289377
0.07000000 0.19287120 -0.20233920 -0.14879506 0.03483059 0.02047058 0.18189764 0.00060658 0.10839634 0.77831446
0.08000000 0.19070765 -0.23031202 -0.14842057 0.04008466 0.02652181 0.17785194 0.00080339 0.10785239 0.77306134
0.09000000 0.18826619 -0.25791637 -0.14799300 0.04544651 0.03326043 0.17334069 0.00103269 0.10723303 0.76714781
0.10000000 0.18555070 -0.28510903 -0.14751124 0.05092742 0.04064358 0.16839059 0.00129680 0.10653728 0.76058926
0.11000000 0.18256552 -0.31184782 -0.14697402 0.05653791 0.04862453 0.16303090 0.00159827 0.10576410 0.75340304
0.12000000 0.17931539 -0.33809164 -0.14638002 0.06228770 0.05715298 0.15729327 0.00193988 0.10491244 0.74560857
0.13000000 0.17580547 -0.36380057 -0.14572778 0.06818560 0.06617543 0.15121153 0.00232464 0.10398124 0.73722734
0.14000000 0.17204129 -0.38893599 -0.14501578 0.07423947 0.07563560 0.14482147 0.00275575 0.10296944 0.72828302
0.15000000 0.16802879 -0.41346066 -0.14424244 0.08045615 0.08547486 0.13816064 0.00323660 0.10187604 0.71880142
0.16000000 0.16377424 -0.43733878 -0.14340610 0.08684141 0.09563261 0.13126811 0.00377072 0.10070009 0.70881055
0.17000000 0.15928428 -0.46053613 -0.14250504 0.09339988 0.10604676 0.12418422 0.00436177 0.09944074 0.69834067
0.18000000 0.15456589 -0.48302007 -0.14153751 0.10013503 0.11665419 0.11695035 0.00501351 0.09809729 0.68742425
0.19000000 0.14962636 -0.50475968 -0.14050174 0.10704910 0.12739117 0.10960865 0.00572976 0.09666914 0.67609598
0.20000000 0.14447328 -0.52572581 -0.13939593 0.11414309 0.13819381 0.10220179 0.00651432 0.09515593 0.66439276
0.21000000 0.13911451 -0.54589111 -0.13821828 0.12141671 0.14899855 0.09477273 0.00737101 0.09355747 0.65235367
0.22000000 0.13355821 -0.56523011 -0.13696700 0.12886835 0.15974254 0.08736440 0.00830353 0.09187384 0.64001987
0.23000000 0.12781274 -0.58371930 -0.13564033 0.13649507 0.17036411 0.08001954 0.00931545 0.09010538 0.62743457
0.24000000 0.12188673 -0.60133710 -0.13423653 0.14429259 0.18080316 0.07278035 0.01041018 0.08825274 0.61464292
0.25000000 0.11578897 -0.61806399 -0.13275393 0.15225528 0.19100155 0.06568832 0.01159084 0.08631690 0.60169189
0.26000000 0.10952848 -0.63388245 -0.13119090 0.16037615 0.20090348 0.05878397 0.01286025 0.08429920 0.58863017
0.27000000 0.10311440 -0.64877707 -0.12954590 0.16864683 0.21045584 0.05210661 0.01422088 0.08220135 0.57550795
0.28000000 0.09655606 -0.66273450 -0.12781749 0.17705763 0.21960851 0.04569415 0.01567470 0.08002548 0.56237681
0.29000000 0.08986288 -0.67574351 -0.12600432 0.18559754 0.22831465 0.03958288 0.01722322 0.07777414 0.54928947
0.30000000 0.08304438 -0.68779497 -0.12410515 0.19425420 0.23653096 0.03380726 0.01886735 0.07545033 0.53629962
0.31000000 0.07611019 -0.69888185 -0.12211889 0.20301401 0.24421792 0.02839978 0.02060734 0.07305752 0.52346165
0.32000000 0.06906998 -0.70899924 -0.12004458 0.21186210 0.25133996 0.02339079 0.02244277 0.07059964 0.51083044
0.33000000 0.06193345 -0.71814430 -0.11788141 0.22078239 0.25786562 0.01880835 0.02437243 0.06808112 0.49846105
0.34000000 0.05471033 -0.72631624 -0.11562875 0.22975763 0.26376764 0.01467809 0.02639428 0.06550685 0.48640848
0.35000000 0.04741036 -0.73351633 -0.11328614 0.23876946 0.26902311 0.01102311 0.02850543 0.06288224 0.47472735
0.36000000 0.04004324 -0.73974783 -0.11085330 0.24779847 0.27361342 0.00786392 0.03070204 0.06021317 0.46347162
0.37000000 0.03261862 -0.74501594 -0.10833018 0.25682423 0.27752438 0.00521833 0.03297934 0.05750600 0.45269430
0.38000000 0.02514611 -0.74932780 -0.10571690 0.26582539 0.28074608 0.00310140 0.03533157 0.05476755 0.44244710
0.39000000 0.01763522 -0.75269241 -0.10301382 0.27477971 0.28327293 0.00152542 0.03775194 0.05200510 0.43278016
0.40000000 0.01009538 -0.75512053 -0.10022154 0.28366418 0.28510351 0.00049990 0.04023268 0.04922634 0.42374173
0.41000000 0.00253589 -0.75662471 -0.09734085 0.29245508 0.28624048 0.00003154 0.04276499 0.04643937 0.41537784
0.42000000 -0.00503408 -0.75721913 -0.09437283 0.30112804 0.28669041 0.00012430 0.04533905 0.04365265 0.40773205
0.43000000 -0.01260551 -0.75691957 -0.09131877 0.30965815 0.28646362 0.00077939 0.04794408 0.04087495 0.40084516
0.44000000 -0.02016955 -0.75574333 -0.08818023 0.31802004 0.28557399 0.00199534 0.05056837 0.03811536 0.39475487
0.45000000 -0.02771752 -0.75370912 -0.08495901 0.32618799 0.28403872 0.00376808 0.05319930 0.03538317 0.38949562
0.46000000 -0.03524094 -0.75083700 -0.08165720 0.33413600 0.28187810 0.00609101 0.05582343 0.03268787 0.38509829
0.47000000 -0.04273154 -0.74714829 -0.07827711 0.34183788 0.27911529 0.00895509 0.05842657 0.03003910 0.38158999
0.48000000 -0.05018126 -0.74266546 -0.07482135 0.34926738 0.27577599 0.01234898 0.06099385 0.02744653 0.37899389
0.49000000 -0.05758228 -0.73741201 -0.07129276 0.35639826 0.27188824 0.01625911 0.06350986 0.02491988 0.37732899
0.50000000 -0.06492701 -0.73141244 -0.06769447 0.36320442 0.26748208 0.02066985 0.06595873 0.02246878 0.37661007
0.51000000 -0.07220812 -0.72469208 -0.06402984 0.36965997 0.26258931 0.02556362 0.06832425 0.02010275 0.37684747
0.52000000 -0.07941854 -0.71727703 -0.06030252 0.37573934 0.25724317 0.03092107 0.07059002 0.01783111 0.37804706
0.53000000 -0.08655144 -0.70919402 -0.05651639 0.38141739 0.25147808 0.03672116 0.07273961 0.01566290 0.38021018
0.54000000 -0.09360028 -0.70047034 -0.05267559 0.38666951 0.24532935 0.04294140 0.07475665 0.01360685 0.38333357
0.55000000 -0.10055880 -0.69113373 -0.04878450 0.39147170 0.23883291 0.04955793 0.07662505 0.01167123 0.38740944
0.56000000 -0.10742101 -0.68121223 -0.04484774 0.39580071 0.23202505 0.05654573 0.07832910 0.00986387 0.39242541
0.57000000 -0.11418119 -0.67073416 -0.04087014 0.39963408 0.22494216 0.06387873 0.07985370 0.00819202 0.39836464
0.58000000 -0.12083393 -0.65972794 -0.03685678 0.40295026 0.21762048 0.07153002 0.08118446 0.00666231 0.40520590
0.59000000 -0.12737408 -0.64822202 -0.03281293 0.40572872 0.21009590 0.07947196 0.08230790 0.00528068 0.41292368
0.60000000 -0.13379680 -0.63624480 -0.02874406 0.40795002 0.20240372 0.08767635 0.08321161 0.00405234 0.42148833
0.61000000 -0.14009750 -0.62382448 -0.02465585 0.40959587 0.19457849 0.09611460 0.08388439 0.00298165 0.43086623
0.62000000 -0.14627190 -0.61098905 -0.02055412 0.41064927 0.18665381 0.10475780 0.08431641 0.00207215 0.44102002
0.63000000 -0.15231599 -0.59776609 -0.01644489 0.41109452 0.17866215 0.11357695 0.08449935 0.00132645 0.45190873
0.64000000 -0.15822602 -0.58418280 -0.01233431 0.41091734 0.17063477 0.12254302 0.08442653 0.00074621 0.46348811
0.65000000 -0.16399853 -0.57026581 -0.00822866 0.41010493 0.16260155 0.13162711 0.08409303 0.00033212 0.47571082
0.66000000 -0.16963032 -0.55604118 -0.00413436 0.40864601 0.15459090 0.14080054 0.08349578 0.00008384 0.48852670
0.67000000 -0.17511842 -0.54153429 -0.00005793 0.40653091 0.14662969 0.15003498 0.08263369 0.00000002 0.50188308
0.68000000 -0.18046014 -0.52676975 0.00399404 0.40375159 0.13874319 0.15930253 0.08150767 0.00007825 0.51572502
0.69000000 -0.18565303 -0.51177140 0.00801487 0.40030172 0.13095498 0.16857585 0.08012073 0.00031509 0.52999567
0.70000000 -0.19069487 -0.49656217 0.01199782 0.39617668 0.12328699 0.17782816 0.07847798 0.00070606 0.54463651
0.71000000 -0.19558365 -0.48116409 0.01593614 0.39137366 0.11575944 0.18703343 0.07658667 0.00124565 0.55958767
0.72000000 -0.20031759 -0.46559819 0.01982303 0.38589160 0.10839084 0.19616632 0.07445616 0.00192737 0.57478827
0.73000000 -0.20489512 -0.44988450 0.02365171 0.37973130 0.10119803 0.20520235 0.07209793 0.00274375 0.59017667
0.74000000 -0.20931485 -0.43404198 0.02741541 0.37289537 0.09419622 0.21411785 0.06952548 0.00368639 0.60569080
0.75000000 -0.21357559 -0.41808852 0.03110738 0.36538827 0.08739900 0.22289009 0.06675429 0.00474603 0.62126845
0.76000000 -0.21767631 -0.40204085 0.03472096 0.35721634 0.08081842 0.23149724 0.06380176 0.00591260 0.63684753
0.77000000 -0.22161614 -0.38591462 0.03824952 0.34838772 0.07446505 0.23991842 0.06068700 0.00717527 0.65236638
0.78000000 -0.22539439 -0.36972427 0.04168655 0.33891242 0.06834802 0.24813374 0.05743081 0.00852252 0.66776401
0.79000000 -0.22901046 -0.35348312 0.04502565 0.32880227 0.06247516 0.25612428 0.05405547 0.00994227 0.68298034
0.80000000 -0.23246392 -0.33720332 0.04826053 0.31807089 0.05685304 0.26387211 0.05058454 0.01142191 0.69795647
0.81000000 -0.23575443 -0.32089584 0.05138505 0.30673366 0.05148707 0.27136030 0.04704277 0.01294843 0.71263490
0.82000000 -0.23888178 -0.30457052 0.05439324 0.29480772 0.04638160 0.27857288 0.04345579 0.01450848 0.72695970
0.83000000 -0.24184581 -0.28823607 0.05727930 0.28231188 0.04154002 0.28549488 0.03985000 0.01608851 0.74087675
0.84000000 -0.24464649 -0.27190006 0.06003765 0.26926662 0.03696482 0.29211228 0.03625226 0.01767485 0.75433391
0.85000000 -0.24728383 -0.25556898 0.06266288 0.25569400 0.03265775 0.29841199 0.03268971 0.01925385 0.76728115
0.86000000 -0.24975791 -0.23924828 0.06514985 0.24161761 0.02861987 0.30438186 0.02918953 0.02081192 0.77967076
0.87000000 -0.25206885 -0.22294236 0.06749363 0.22706253 0.02485165 0.31001064 0.02577870 0.02233571 0.79145742
0.88000000 -0.25421682 -0.20665465 0.06968959 0.21205523 0.02135307 0.31528797 0.02248371 0.02381217 0.80259837
0.89000000 -0.25620201 -0.19038765 0.07173332 0.19662352 0.01812373 0.32020433 0.01933041 0.02522869 0.81305349
0.90000000 -0.25802464 -0.17414297 0.07362074 0.18079646 0.01516289 0.32475104 0.01634368 0.02657316 0.82278542
0.91000000 -0.25968495 -0.15792140 0.07534804 0.16460426 0.01246958 0.32892023 0.01354728 0.02783411 0.83175961
0.92000000 -0.26118315 -0.14172292 0.07691171 0.14807823 0.01004269 0.33270480 0.01096358 0.02900079 0.83994442
0.93000000 -0.26251948 -0.12554685 0.07830860 0.13125067 0.00788101 0.33609843 0.00861337 0.03006325 0.84731116
0.94000000 -0.26369416 -0.10939183 0.07953583 0.11415478 0.00598329 0.33909550 0.00651566 0.03101242 0.85383416
0.95000000 -0.26470738 -0.09325592 0.08059091 0.09682455 0.00434833 0.34169113 0.00468750 0.03184022 0.85949082
0.96000000 -0.26555933 -0.07713669 0.08147166 0.07929468 0.00297503 0.34388115 0.00314382 0.03253958 0.86426161
0.97000000 -0.26625016 -0.06103128 0.08217626 0.06160046 0.00186241 0.34566204 0.00189731 0.03310452 0.86813014
0.98000000 -0.26677999 -0.04493644 0.08270324 0.04377769 0.00100964 0.34703095 0.00095824 0.03353023 0.87108317
0.99000000 -0.26714891 -0.02884867 0.08305150 0.02586253 0.00041612 0.34798569 0.00033444 0.03381305 0.87311061
1.00000000 -0.26735698 -0.01276425 0.08322030 0.00789145 0.00008146 0.34852471 0.00003114 0.03395056 0.87420558
1.01000000 -0.26740420 0.00332067 0.08320927 -0.01009893 0.00000551 0.34864709 0.00005099 0.03394156 0.87436436
1.02000000 -0.26729055 0.01940997 0.08301838 -0.02807192 0.00018837 0.34835257 0.00039402 0.03378610 0.87358645
1.03000000 -0.26701597 0.03550750 0.08264801 -0.04599085 0.00063039 0.34764149 0.00105758 0.03348548 0.87187453
1.04000000 -0.26658036 0.05161702 0.08209887 -0.06381926 0.00133216 0.34651485 0.00203645 0.03304223 0.86923449
1.05000000 -0.26598358 0.06774207 0.08137204 -0.08152089 0.00229449 0.34497428 0.00332283 0.03246010 0.86567541
1.06000000 -0.26522545 0.08388593 0.08046899 -0.09905991 0.00351842 0.34302207 0.00490643 0.03174401 0.86120953
1.07000000 -0.26430579 0.10005153 0.07939151 -0.11640092 0.00500515 0.34066118 0.00677459 0.03090004 0.85585227
1.08000000 -0.26322434 0.11624137 0.07814175 -0.13350912 0.00675603 0.33789524 0.00891234 0.02993534 0.84962219
1.09000000 -0.26198087 0.13245747 0.07672221 -0.15035041 0.00877249 0.33472859 0.01130262 0.02885813 0.84254095
1.10000000 -0.26057510 0.14870127 0.07513574 -0.16689145 0.01105603 0.33116626 0.01392638 0.02767756 0.83463331
